numero-da-portaria,data-de-publicacao,descricao-sobre-o-assunto-de-que-trata-a-portaria
768,2023-07-05 00:00:00,Dispõe sobre tornar sem efeito a Portaria nº 671 de 15/06/23 e validar a portaria nº 515 de 10/05/23.
769,2023-07-05 00:00:00,Dispõe sobre Tornar público o auxílio funeral referente ao óbito de ex-servidor do IFMG - Campus Bambuí.
770,2023-07-05 00:00:00,Dispõe sobre Tornar público o  auxílio funeral referente ao óbito de ex-servidora do IFMG - Campus Bambuí.
771,2023-07-05 00:00:00,Dispõe sobre autorização de afastamento do país a servidor do IFMG - Campus Congonhas.
772,2023-07-06 00:00:00,Dispõe sobre Tornar público o auxílio funeral referente ao óbito de ex-servidor do IFMG - Campus São João Evangelista.
773,2023-07-06 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 35/2023.
774,2023-07-06 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Empenho com força de Contrato 2023NE000479.
775,2023-07-06 00:00:00,Dispõe sobre autorização de afastamento do país a servidor do IFMG - Campus São João Evangelista.
776,2023-07-06 00:00:00,Dispõe sobre nomeação de servidor efetivo do IFMG - Campus Santa Luzia.
777,2023-07-06 00:00:00,Dispõe sobre nomeação de servidor efetivo do IFMG - Campus Formiga.
778,2023-07-06 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professora do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Ouro Preto."
779,2023-07-06 00:00:00,Dispõe sobre tornar público o auxílio funeral referente ao óbito de ex-servidor do IFMG - Campus Bambuí.
780,2023-07-06 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Ouro Preto.
781,2023-07-06 00:00:00,Dispõe sobre nomeação de servidor para cargo de direção Substituto - Reitoria.
782,2023-07-07 00:00:00,Dispõe sobre Exoneração de servidor do Instituto Federal de Minas Gerais – Campus Congonhas.
783,2023-07-07 00:00:00,Dispõe sobre Tornar pública a concessão de auxílio funeral referente ao óbito de ex-servidor do IFMG - Campus Ouro Preto.
784,2023-07-10 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Betim.
785,2023-07-10 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 34/2019/RER/ITR e Revogação da Portaria nº 365 de 17 de março de 2020.
786,2023-07-10 00:00:00,Dispõe sobre remoção de servidor Professor EBTT- IFMG Campus Santa Luzia para o IFMG Campus Ouro Preto.
787,2023-07-10 00:00:00,"Dispõe sobre reajuste de taxas administrativas regulamentadas pela Resolução CONSUP IFMG Nº 8 de 19 de maio de 2021, incluindo estagiários no rol de usuários dos serviços de alimentação e revoga a Portaria 266 de 03 de março de 2022."
788,2023-07-11 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 13/2020 e Revogação da Portaria nº 1105 de 23 de novembro de 2020.
789,2023-07-11 00:00:00,"Dispõe sobre Vacância por Falecimento de Servidora do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - Campus Formiga."
790,2023-07-11 00:00:00,Dispõe sobre Licença para Tratar de Interesses Particulares a servidor do IFMG - Campus Avançado Itabirito.
791,2023-07-11 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidor do IFMG - Campus Sabará.
792,2023-07-11 00:00:00,Dispõe sobre a nomeação de servidores para comporem o Rol de Responsáveis pela gestão do IFMG e Revogação da Portaria nº 412 de 12 de abril de 2023.
793,2023-07-11 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Polo de Inovação."
794,2023-07-11 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Campus Formiga."
795,2023-07-11 00:00:00,Dispõe sobre prorrogação do prazo de exercício de servidor lotado no IFMG - Campus Ouro Preto na Reitoria.
796,2023-07-11 00:00:00,Dispõe sobre autorização de exercício parcial de servidora no âmbito do IFMG.
797,2023-07-11 00:00:00,Dispõe sobre a designação de novos membros do Comitê de Ética em Pesquisa (CEP/IFMG) e dá outras providências.
798,2023-07-12 00:00:00,Dispõe sobre Exoneração de servidor do Instituto Federal de Minas Gerais – Campus Ouro Preto.
799,2023-07-12 00:00:00,Dispõe sobre interrupção de férias de servidor do IFMG - Campus Ibirité.
800,2023-07-12 00:00:00,Dispõe sobre autorização de acesso ao Sistema Nacional de Informações da Educação Profissional e Tecnológica (SISTEC).
801,2023-07-12 00:00:00,Dispõe sobre interrupção de férias de servidor do IFMG - Campus Ouro Branco.
802,2023-07-12 00:00:00,Dispõe sobre interrupção de férias de servidora do IFMG - Campus Sabará.
803,2023-07-12 00:00:00,Dispõe sobre Concessão de Incentivo à Qualificação a Servidor do IFMG - Campus Sabará.
804,2023-07-12 00:00:00,Dispõe sobre a autorização do funcionamento da jornada de trabalho flexibilizada na UO Secretaria de Registro e Controle Acadêmico – Campus Ribeirão das Neves e Revogação da Portaria nº 1316 de 20 de dezembro de 2022.
805,2023-07-12 00:00:00,Dispõe sobre Retificação da Portaria nº 794 de 11 de julho de 2023.
806,2023-07-12 00:00:00,Dispõe sobre autorização do funcionamento da jornada de trabalho flexibilizada aos TAE’s do IFMG – Campus Ouro Branco.
807,2023-07-13 00:00:00,Dispõe sobre Licença para Capacitação de servidora do IFMG – Reitoria.
808,2023-07-13 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
809,2023-07-13 00:00:00,Dispõe sobre autorização de acréscimo de horas de trabalhos anuais à servidor do IFMG - Campus Avançado Arcos.
810,2023-07-13 00:00:00,Dispõe sobre autorização de acréscimo de horas de trabalhos anuais à servidor do IFMG - Campus Avançado Arcos.
811,2023-07-13 00:00:00,"Dispõe sobre Progressão por Capacitação Profissional a servidores Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
812,2023-07-13 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
813,2023-07-13 00:00:00,Dispõe sobre Interrupção da Licença para Capacitação de servidora do IFMG – Campus Sabará.
814,2023-07-13 00:00:00,Dispõe sobre a averbação de tempo de contribuição de servidora do IFMG - campus Ouro Preto.
815,2023-07-13 00:00:00,"Dispõe sobre a autorização de funcionamento do Curso Técnico em Logística, Subsequente, EAD, no IFMG - Campus Ribeirão das Neves."
816,2023-07-14 00:00:00,Dispõe sobre Afastamento para Participação em Ação de Desenvolvimento em Serviço de servidora do IFMG - Campus Ouro Preto.
817,2023-07-14 00:00:00,"Dispõe sobre Regulamentação do pagamento de Gratificação por Encargo de Curso ou Concurso (GECC) no âmbito do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais (IFMG), Revogação da Portaria nº 966/2020 de 06/10/2020 e Torna sem efeito a Portaria nº 656/2013 de 13/06/2023"
818,2023-07-14 00:00:00,Dispõe sobre Interrupção de Férias de servidor do IFMG.
819,2023-07-14 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidora do IFMG - Campus Bambuí.
820,2023-07-14 00:00:00,Dispõe sobre autorização de acréscimo de horas de trabalhos anuais à servidora do IFMG - Campus Avançado Arcos.
821,2023-07-14 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
822,2023-07-14 00:00:00,Dispõe sobre a Concessão de Pensão Civil – Instituidora: Cristina Mara Vilela Silva – IFMG – Campus Formiga.
823,2023-07-14 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 14/2019/RER e Revogação da Portaria nº 343 de 29 de março de 2023.
824,2023-07-14 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
825,2023-07-17 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
826,2023-07-17 00:00:00,Dispõe sobre autorização de acréscimo de horas de trabalhos anuais à servidor do IFMG - Campus Avançado Arcos
827,2023-07-17 00:00:00,Dispõe sobre Interrupção de Férias do servidor.
828,2023-07-17 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Betim."
829,2023-07-17 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Betim."
830,2023-07-17 00:00:00,Dispõe sobre Continuidade do Afastamento para Pós-graduação Stricto-Sensu no país de servidor do IFMG - Campus Bambuí.
831,2023-07-18 00:00:00,Dispõe sobre nomeação de servidor para substituto de cargo - Reitoria
832,2023-07-18 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
833,2023-07-18 00:00:00,Dispõe sobre Retificação da Portaria nº 830 de 18 de julho de 2023 que Dispõe sobre Continuidade do Afastamento para Pós-graduação Stricto-Sensu no país de servidor do IFMG - Campus Bambuí.
834,2023-07-19 00:00:00,Dispõe sobre Interrupção de Férias do servidor.
835,2023-07-19 00:00:00,"Dispõe sobre remanejamento de Função Comissionada de Coordenação de Curso (FCC), no âmbito do IFMG - Campus Ouro Preto."
836,2023-07-19 00:00:00,Dispõe sobre jornada flexibilizada no campus Bambuí
837,2023-07-19 00:00:00,Dispõe sobre jornada flexibilizada no Campus Bambuí
838,2023-07-19 00:00:00,Dispõe sobre Interrupção de Férias do servidor.
839,2023-07-19 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 33/2019.
840,2023-07-19 00:00:00,Dispõe sobre a nomeação de servidores para comporem o Rol de Responsáveis pela gestão do IFMG e Revogação da Portaria nº 792 de 11 de julho de 2023.
841,2023-07-20 00:00:00,Dispõe sobre Interrupção de Férias do servidor.
842,2023-07-20 00:00:00,"Dispõe sobre Vacância por posse em cargo inacumulável de Servidor do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Campus Ribeirão das Neves."
843,2023-07-20 00:00:00,Dispõe sobre Interrupção de Férias do servidor.
844,2023-07-20 00:00:00,Dispõe sobre a designação da Comissão Examinadora do Edital 039/2023 de Concurso Público destinado à seleção de Técnicos Administrativos em Educação
845,2023-07-20 00:00:00,Dispõe sobre Tornar pública a concessão de auxílio-funeral referente ao óbito de ex-servidora do IFMG - Campus Ouro Preto.
846,2023-07-20 00:00:00,Dispõe sobre Tornar pública a concessão de auxílio-funeral referente ao óbito de ex-servidora do IFMG - Campus Formiga.
847,2023-07-20 00:00:00,Dispõe sobre prorrogação do período do mandato dos membros da Comissão Permanente de Pessoal Docente – CPPD do IFMG
848,2023-07-20 00:00:00,Dispõe sobre remoção de servidor Professor EBTT- IFMG Campus Ibirité para o IFMG Campus Betim.
849,2023-07-21 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 56/2023.
850,2023-07-21 00:00:00,Dispõe sobre prorrogação do período do mandato dos membros da Comissão Interna de Supervisão do Plano de Carreira dos Cargos Técnico-Administrativos em Educação - CIS/TAE.
851,2023-07-21 00:00:00,Dispõe sobre interrupção de férias de servidor do IFMG - Campus Bambuí.
852,2023-07-21 00:00:00,Dispõe sobre interrupção de férias de servidora do IFMG - Campus Ouro Branco.
853,2023-07-21 00:00:00,Dispõe sobre interrupção de férias de servidor do IFMG - Campus Bambuí.
854,2023-07-24 00:00:00,Dispõe sobre a designação da Comissão Examinadora do Edital 039/2023 de Concurso Público destinado à seleção de Técnicos Administrativos em Educação
855,2023-07-24 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG - Reitoria.
856,2023-07-24 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - Reitoria."
857,2023-07-24 00:00:00,Dispõe sobre Afastamento para Participação em Ação de Desenvolvimento em Serviço de servidor do IFMG - Campus Bambuí.
858,2023-07-24 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidor(a) do IFMG - Campus Avançado Piumhi.
859,2023-07-24 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidor(a) do IFMG - Reitoria.
860,2023-07-24 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
861,2023-07-24 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
862,2023-07-24 00:00:00,Dispõe sobre Licença para Tratar de Interesses Particulares a servidor do IFMG - Campus São João Evangelista.
863,2023-07-25 00:00:00,Dispõe sobre retribuição por Titulação - Campus Avançado de Pìumh
864,2023-07-25 00:00:00,Dispõe sobre interrupção de férias do servidor.
865,2023-07-25 00:00:00,Dispõe sobre afastamento do país para participação em evento - campus Governador Valadares
866,2023-07-25 00:00:00,Dispõe sobre Interrupção de Férias do servidor.
867,2023-07-25 00:00:00,Dispõe sobre a Concessão de Aposentadoria Voluntária para servidor Técnico Administrativo do IFMG – Campus Ouro Preto.
868,2023-07-26 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
869,2023-07-26 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidor(a) do IFMG - Campus Santa Luzia.
870,2023-07-26 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Avançado Ipatinga
871,2023-07-26 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Ribeirão das Neves
872,2023-07-26 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Ribeirão das Neves
873,2023-07-26 00:00:00,"Dispõe sobre Prorrogação de Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Governador Valadares."
874,2023-07-26 00:00:00,"Dispõe sobre Prorrogação de Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Santa Luzia."
875,2023-07-27 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
876,2023-07-27 00:00:00,"Dispõe sobre Interrupção do Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico - Campus São João Evangelista."
877,2023-07-27 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Formiga."
878,2023-07-27 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Betim
879,2023-07-27 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Bambuí
880,27/0/2023,"Dispõe sobre Progressão por Capacitação Profissional a servidores Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
881,2023-07-27 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Betim
882,2023-07-27 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Santa Luzia
883,2023-07-27 00:00:00,Dispõe sobre designação de Comissão Avaliadora - EDITAL 50/2023 - Chamada para a seleção de docentes dos programas de Mestrado do IFMG para mobilidade internacional – Internacionaliza Docentes IFMG 2023/2024
885,2023-07-27 00:00:00,Dispõe sobre nomeação do Chefe de Delegação do IFMG nos Jogos dos Institutos Federais
887,2023-07-28 00:00:00,Dispõe sobre retificação da Portaria nº 324 de 27 de março de 2023.
888,2023-07-28 00:00:00,Dispõe sobre interrupção de férias de servidor do IFMG - Campus Bambuí.
889,2023-07-28 00:00:00,Dispõe sobre Concessão de Incentivo à Qualificação Técnico-Administrativo em Educação do Instituto Federal de Minas Gerais - Campus Avançado de Piumhi
890,2023-07-31 00:00:00,"Dispõe sobre Regimento interno do Campus Formiga do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais e Revoga a Portaria 277/2023."
891,2023-07-31 00:00:00,Dispõe sobre a Concessão de Abono de Permanência para servidora do IFMG Campus Ouro Preto.
892,2023-07-31 00:00:00,Dispõe sobre reconhecimento de pesquisadores como membros de comissão de avaliação de projetos de pesquisa.
893,2023-07-31 00:00:00,Dispõe sobre a alteração do regime de trabalho de Técnico Administrativo do IFMG – Campus Avançado Arcos.
894,2023-08-01 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Bambuí."
895,2023-08-01 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
896,2023-08-01 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional a servidor Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
897,2023-08-01 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
898,2023-08-02 00:00:00,Dispõe sobre interrupção de férias de servidor - Campus Bambuí.
899,2023-08-02 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
900,2023-08-02 00:00:00,Dispõe sobre a retificação da Portaria IFMG nº 414 de 13 de abril de 2023.
901,2023-08-02 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
902,2023-08-02 00:00:00,Dispõe sobre autorização de jornada de trabalho flexibilizada de TAE em trabalho em período noturno IFMG – Campus Congonhas
903,2023-08-02 00:00:00,Dispõe sobre flexibilização de jornada de servidores - Campus Governador Valadares
904,2023-08-02 00:00:00,Dispõe sobre Continuidade do Afastamento para Participação em Ação de Desenvolvimento em Serviço de servidor do IFMG - Campus Bambuí.
905,2023-08-02 00:00:00,Dispõe sobre flexibilização de jornada de servidores - Campus Betim
906,2023-08-02 00:00:00,Dispõe sobre flexibilização de servidores do IFMG - Campus Sabará
907,2023-08-02 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
908,2023-08-03 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Governador Valadares."
909,2023-08-03 00:00:00,Dispõe sobre a publicação da relação dos participantes que fizeram jus ao Certificado de Conclusão do Ensino Médio com base nos resultados de desempenho obtidos no Encceja
910,2023-08-03 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Bambuí."
911,2023-08-03 00:00:00,Dispõe sobre Retribuição por Titulação - Campus Avançado de Piumhi
912,2023-08-07 00:00:00,Dispõe sobre a criação da Comissão de Transição da Gestão na unidade IFMG-Reitoria
913,2023-08-07 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Bambuí."
914,2023-08-07 00:00:00,Dispõe sobre interrupção de férias de servidor do IFMG - Campus Bambuí.
915,2023-08-07 00:00:00,Dispõe sobre nomeação de servidor efetivo do IFMG - Campus Ribeirão das Neves.
917,2023-08-07 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
918,2023-08-07 00:00:00,"Dispõe sobre Retomada do Afastamento para Pós-graduação Stricto-Sensu no País de Professora do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Ouro Preto."
919,2023-08-07 00:00:00,Dispõe sobre Revogação da Portaria nº 877 de 27 de julho de 2023.
920,2023-08-08 00:00:00,Dispõe sobre constituição da Comissão Organizadora do XI Seminário de Iniciação Científica (SIC) do IFMG.
921,2023-08-08 00:00:00,"Dispõe sobre nomeação de servidor efetivo do IFMG - Campus Ouro Preto.
"
922,2023-08-08 00:00:00,Dispõe sobre exoneração e nomeação de servidora de cargo de direção do IFMG - Reitoria.
923,2023-08-08 00:00:00,Dispõe sobre exoneração e nomeação de servidora de cargo de direção do IFMG - Reitoria.
924,2023-08-09 00:00:00,Dispõe sobre nomeação de servidor efetivo do IFMG - Campus Bambuí.
925,2023-08-09 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Ouro Branco."
926,2023-08-09 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
927,2023-08-09 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Ouro Branco."
928,2023-08-09 00:00:00,Dispõe sobre autorização de exercício de servidora do IFMG - Campus Betim no IFMG - Campus Santa Luzia.
929,2023-08-09 00:00:00,"Dispõe sobre Interrupção do Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico - Campus Avançado Piumhi."
930,2023-08-09 00:00:00,Dispõe sobre encerramento do exercício temporário de servidora do IFMG junto ao Campus Formiga.
931,2023-08-09 00:00:00,Dispõe sobre remoção de servidor Professor EBTT- IFMG Campus Avançado Piumhi para o IFMG Campus Ouro Preto.
932,2023-08-10 00:00:00,Dispõe sobre admissão de servidor efetivo do IFMG - Campus Congonhas.
933,2023-08-10 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 2023NE000480 e 2023NE000481.
934,2023-08-11 00:00:00,"Dispõe sobre a alteração da Portaria nº 1658, de 17 de novembro de 2014 e revogação da Portaria nº 285, de 06 de março de 2020."
935,2023-08-11 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
936,2023-08-11 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
937,2023-08-11 00:00:00,Dispõe sobre a alteração da Portaria nº 1.170 de 29 de setembro de 2017.
938,2023-08-11 00:00:00,Dispõe sobre Interrupção de Férias do servidor do IFMG - Reitoria.
939,2023-08-11 00:00:00,Dispõe sobre interrupção de férias de servidores do IFMG - Campus Ouro Branco
940,2023-08-11 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
941,2023-08-11 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
942,2023-08-16 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 35/2019.
943,2023-08-16 00:00:00,"Dispõe sobre constituição de comissão para auditoria no PRONATEC, no âmbito do IFMG."
944,2023-08-16 00:00:00,Dispõe sobre Concessão de Incentivo à Qualificação TAE do IFMG - Reitoria.
945,2023-08-16 00:00:00,Dispõe sobre Interrupção de Férias de servidor do IFMG - Campus Bambuí.
946,2023-08-16 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato IFMG 68/2023.
947,2023-08-17 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Ibirité."
948,2023-08-17 00:00:00,Dispõe sobre concessão de horário especial a servidor para acompanhar dependente com deficiência - Campus Ponte Nova.
949,2023-08-17 00:00:00,"Dispõe sobre Constituição da Comissão de Bolsas do Programa de Pós-Graduação em Educação Profissional e Tecnológica - ProfEPT, do IFMG."
950,2023-08-17 00:00:00,"Dispõe sobre a alteração da Portaria nº 266, de 30 de julho de 2009."
951,2023-08-18 00:00:00,"Dispõe sobre Interrupção de Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Formiga."
952,2023-08-18 00:00:00,Dispõe sobre Interrupção de Férias do servidora do IFMG - Reitoria.
953,2023-08-18 00:00:00,Dispõe sobre retificação da Portaria 366/2023.
954,2023-08-18 00:00:00,Dispõe sobre dispensa de servidor do cargo de Ouvidor Substituto - FG1 no âmbito do IFMG.
955,2023-08-18 00:00:00,Dispõe sobre designação de servidora para o cargo de Ouvidora Substituta - FG1 no âmbito do IFMG.
956,2023-08-21 00:00:00,Dispõe sobre Retificação da Portaria IFMG nº 910 de 03 de agosto de 2023.
957,2023-08-21 00:00:00,Dispõe sobre Retificação da Portaria IFMG nº 925 de 09 de agosto de 2023.
958,2023-08-21 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
959,2023-08-21 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
960,2023-08-21 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
961,2023-08-21 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria"
962,2023-08-22 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria.
"
963,2023-08-22 00:00:00,Dispõe sobre Cessão para Colaboração Técnica de servidora do IFMG Campus São João Evangelista para o IFNMG.
964,2023-08-22 00:00:00,Dispõe sobre Licença para Capacitação de servidora do IFMG – Campus Betim.
965,2023-08-22 00:00:00,"Dispõe sobre Prorrogação de Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Ibirité."
966,2023-08-22 00:00:00,Dispõe sobre Prorrogação Licença para Tratar de Interesses Particulares a servidor do IFMG - Campus Ouro Branco.
967,2023-08-22 00:00:00,Dispõe sobre Interrupção de Licença para Tratar de Interesses Particulares a servidora do IFMG - Campus Avançado Ipatinga.
