numero-da-portaria,data-de-publicacao,descricao-sobre-o-assunto-de-que-trata-a-portaria
137,2023-02-01 00:00:00,Dispõe sobre reconhecimento de pesquisadores como membros de banca de seleção de candidatos bolsistas.
138,2023-02-01 00:00:00,Dispõe sobre interrupção de férias de servidora do IFMG - Campus Formiga.
139,2023-02-01 00:00:00,Dispõe sobre Concessão de horário especial à Servidor do IFMG – Reitoria.
141,2023-02-01 00:00:00,Dispõe sobre interrupção de férias de servidora do IFMG - Campus Formiga.
142,2023-02-01 00:00:00,Dispõe sobre Concessão de horário especial à Servidor do IFMG – Reitoria.
143,2023-02-02 00:00:00,"Dispõe sobre Progressão por Capacitação Profissional a servidores Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
144,2023-02-02 00:00:00,Dispõe sobre Interrupção de Férias de servidor do IFMG - Campus Avançado Piumhi.
145,2023-02-02 00:00:00,"Dispõe sobre a publicação da relação de concluintes que obtiveram o Certificado de Conclusão do Ensino Médio expedido eletronicamente pelo Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - IFMG com base nos resultados de desempenho obtidos no Exame Nacional para Certificação de Competências de Jovens e Adultos - Encceja."
146,2023-02-02 00:00:00,Dispõe sobre autorização do funcionamento da jornada de trabalho flexibilizada aos TAE’s do IFMG – Campus Santa Luzia.
147,2023-02-02 00:00:00,Dispõe sobre autorização do funcionamento da jornada de trabalho flexibilizada aos TAE´s do IFMG - Campus Santa Luzia e Revogação da Portaria nº 1144 de 24 de outubro de 2022.
148,2023-03-02 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato IFMG nº  02/2023.
149,2023-02-02 00:00:00,Dispõe sobre autorização do funcionamento da jornada de trabalho flexibilizada aos TAE’s do IFMG – Campus Santa Luzia.
150,2023-02-02 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidora do IFMG - Campus Bambuí.
151,2023-02-03 00:00:00,Dispõe sobre definição de critérios para utilização dos créditos e limites orçamentários disponíveis para o IFMG no exercício de 2023.
152,2023-02-03 00:00:00,Dispõe sobre a retificação da Portaria IFMG nº 119 de 31 de janeiro de 2023.
153,2023-02-03 00:00:00,Dispõe sobre a retificação da Portaria IFMG nº 119 de 31 de janeiro de 2023.
154,2023-02-03 00:00:00,Dispõe sobre a instituição da Comissão de Reavaliação de Bens Imóveis no âmbito do IFMG.
155,2023-02-06 00:00:00,Dispõe sobre a Designação de Servidor para Cargo de Função Gratificada Substituto do IFMG.
156,2023-02-06 00:00:00,Dispõe sobre a Designação de Servidor para Cargo de Função Gratificada Substituto do IFMG.
157,2023-02-06 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidora do IFMG - REITORIA.
158,2023-02-06 00:00:00,Dispõe sobre Interrupção de Férias do servidor do IFMG - Campus São João Evangelista.
159,2023-02-07 00:00:00,Dispõe sobre a localização e vinculação de servidor do IFMG - Reitoria.
160,2023-02-07 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Campus Bambuí.
161,2023-02-07 00:00:00,"Dispõe sobre Vacância por Falecimento de Servidora do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - Campus Avançado Ponte Nova."
162,2023-02-07 00:00:00,Dispõe sobre remoção de servidor Professor EBTT- IFMG Campus São João Evangelista para o IFMG Campus Ribeirão das Neves.
163,2023-02-08 00:00:00,Dispõe sobre autorização do funcionamento da jornada de trabalho flexibilizada aos TAE’s do IFMG – Campus Bambuí.
164,2023-02-08 00:00:00,Dispõe sobre retificação da portaria IFMG nº 968 de 09 de setembro de 2022.
165,2023-02-08 00:00:00,Dispõe sobre a Concessão de Abono de Permanência para servidor do IFMG Campus Ouro Preto.
166,2023-02-08 00:00:00,Dispõe sobre Interrupção de Férias de servidora do IFMG - Campus Bambuí.
167,2023-02-08 00:00:00,Dispõe sobre autorização de afastamento do país a servidora do IFMG - Campus Governador Valadares. 
168,2023-02-09 00:00:00,Dispõe sobre constituição da Comissão Avaliadora do Processo Seletivo para Apoio Financeiro na Reitoria do IFMG.
169,2023-02-10 00:00:00,Dispõe sobre Designação de Representantes Locais da Diretoria de Relações Internacionais (DRI) e Revogação da Portaria nº 1215 de 16 de novembro de 2022.
170,2023-02-10 00:00:00,Dispõe sobre Exoneração de servidora do Instituto Federal de Minas Gerais – Campus Santa Luzia.
171,2023-02-10 00:00:00,Dispõe sobre nomeação de Técnicos Administrativos em Educação para o IFMG – Campus Bambuí.
172,2023-02-13 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Reitoria.
173,2023-02-13 00:00:00,Dispõe sobre Licença para Capacitação de servidora do IFMG – Reitoria.
174,2023-02-13 00:00:00,Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no país de servidor do IFMG - Reitoria.
176,2023-02-13 00:00:00,Dispõe sobre Licença para Capacitação de servidor do IFMG – Reitoria.
177,2023-02-13 00:00:00,Dispõe sobre Concessão de Incentivo à Qualificação a servidora Técnico-Administrativo em Educação do IFMG - RETORIA.
178,2023-02-13 00:00:00,Dispõe sobre designação de Fiscal titular e de fiscal substituto do Contrato 131/2022.
179,2023-02-13 00:00:00,Dispõe sobre Retificação da Portaria IFMG nº 1046 de 29 de setembro de 2022.
180,2023-02-14 00:00:00,"Dispõe sobre Afastamento para Pós-graduação Stricto-Sensu no País de Professor do Ensino Básico, Técnico e Tecnológico do IFMG - Campus Ibirité."
181,2023-02-14 00:00:00,Dispõe sobre homologação de Estágio Probatório de Servidor do IFMG - Campus Avançado Ponte Nova.
182,2023-02-14 00:00:00,"Dispõe sobre remanejamento, no âmbito do IFMG - Campus Bambuí, Funções Comissionadas de Coordenação de Curso (FCCs)."
183,2023-02-14 00:00:00,"Dispõe sobre Concessão de Incentivo à Qualificação a servidor Técnico-Administrativo em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais - Reitoria."
184,2023-02-14 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
185,2023-02-14 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
186,2023-02-14 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
187,2023-02-14 00:00:00,"Dispõe sobre Concessão de Progressão por Mérito Profissional aos servidores Técnico-Administrativos em Educação do Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais – Reitoria."
188,2023-02-14 00:00:00,Dispõe sobre autorização de funcionamento de jornada flexibilizada do servidor da carreira Técnico-Administrativo em Educação (TAE) e em exercício no IFMG- campus Sabará.
189,2023-02-15 00:00:00,Dispõe sobre a Retificação da Portaria IFMG nº 833 de 02 de agosto de 2022.
190,2023-02-15 00:00:00,Dispõe sobre autorização do funcionamento da jornada de trabalho flexibilizada aos TAE’s do IFMG – Campus Governador Valadares e Revogação da portaria IFMG nº 1135 de 20 de outubro de 2022.
