identificador,aberto-em,area,grupo-de-servico,servico,campus,status,solucionado-em
6949,14/12/2022,Tecnologia da Informação,RE-DTI-Telefonia,"RE-DTI-Liberação de tipo de ligação (celular, DDD, DDI, etc)",REITORIA,Fechado,16/12/2022
6950,14/12/2022,Administrativo,Dúvidas SISPLAN,Dúvida SISPLAN,REITORIA,Fechado,14/12/2022
6951,14/12/2022,Administrativo,Contratos,02 Processo SEI: NOMEAÇÃO de Fiscal de Contrato,REITORIA,Fechado,15/12/2022
6952,15/12/2022,Administrativo,Cobertura,Limpeza de calhas,CAMPUS SANTA LUZIA,Fechado,26/01/2023
6953,15/12/2022,Administrativo,Elétrica,99 Outros serviços elétricos,CAMPUS SANTA LUZIA,Fechado,23/12/2022
6954,15/12/2022,Administrativo,Compras,Dúvida: Empenho (SIASG),REITORIA,Fechado,16/12/2022
6955,15/12/2022,Administrativo,Contratos,01 Processo SEI - Novo CONTRATO,REITORIA,Fechado,15/12/2022
6956,15/12/2022,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Computador/monitor com problemas,REITORIA,Cancelado,
6957,15/12/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – ALTERAÇÃO - senhas e grupos de e-mail,REITORIA,Fechado,15/12/2022
6958,15/12/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-Pastas na rede - Criação e recuperação,REITORIA,Fechado,15/12/2022
6959,15/12/2022,Administrativo,Hidráulica e Hidrossanitários,04 Reparo em torneira,CAMPUS IBIRITÉ,Fechado,24/02/2023
6960,15/12/2022,Tecnologia da Informação,RE-DTI Portal ifmg.edu.br,RE-DTI Manutenção do portal ifmg.edu.br,REITORIA,Fechado,15/12/2022
6961,15/12/2022,Administrativo,Contratos,11 Processo SEI: Encerramento Contratual,REITORIA,Fechado,16/12/2022
6962,15/12/2022,Tecnologia da Informação,SL-Acesso à Rede/Internet,SL-Sem acesso à Internet,CAMPUS SANTA LUZIA,Fechado,06/01/2023
6963,15/12/2022,Tecnologia da Informação,SL-Desktops e notebooks,SL-Certificado Digital,CAMPUS SANTA LUZIA,Fechado,30/01/2023
6964,16/12/2022,Tecnologia da Informação,SAB-LABORATÓRIOS DE INFORMÁTICA E BIBLIOTECA,SAB-  Instalação de software,CAMPUS SABARA,Fechado,02/01/2023
6965,16/12/2022,Tecnologia da Informação,OBR-SISTEMAS,OBR-Eduroam,CAMPUS OURO BRANCO,Fechado,16/12/2022
6966,16/12/2022,Tecnologia da Informação,OBR-SISTEMAS,OBR-Eduroam,CAMPUS OURO BRANCO,Fechado,16/12/2022
6967,16/12/2022,Tecnologia da Informação,SL- Laboratório Informática 1 - 42 computadores,SL-Instalação e Configuração de Software,CAMPUS SANTA LUZIA,Fechado,31/01/2023
6968,16/12/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,16/12/2022
6969,16/12/2022,Administrativo,Almoxarifado Virtual,solicitação de cadastro itens sistema,REITORIA,Fechado,17/01/2023
6970,16/12/2022,Tecnologia da Informação,OBR-IMPRESSÃO,OBR-Cotas de Impressão,CAMPUS OURO BRANCO,Fechado,16/12/2022
6971,16/12/2022,Tecnologia da Informação,OBR-SISTEMAS,OBR-Eduroam,CAMPUS OURO BRANCO,Fechado,16/12/2022
6972,16/12/2022,Tecnologia da Informação,OBR-IMPRESSÃO,OBR-Impressora inoperante/obstruída,CAMPUS OURO BRANCO,Fechado,16/12/2022
6973,16/12/2022,Administrativo,Erros SISPLAN,Tramitação de Processos,REITORIA,Fechado,16/12/2022
6974,16/12/2022,Administrativo,Elétrica,10 Troca de lâmpada,CAMPUS SANTA LUZIA,Fechado,19/12/2022
6975,16/12/2022,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-Portais Web/ Hospedagem de serviços,REITORIA,Fechado,16/12/2022
6976,16/12/2022,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Instalação de software,CAMPUS OURO BRANCO,Fechado,16/12/2022
6977,16/12/2022,Tecnologia da Informação,RE-DTI Portal ifmg.edu.br,RE-DTI Manutenção do portal ifmg.edu.br,REITORIA,Fechado,19/12/2022
6978,16/12/2022,Tecnologia da Informação,SAB-SISTEMAS,SAB- Incidente Conecta,CAMPUS SABARA,Fechado,05/01/2023
6979,16/12/2022,Tecnologia da Informação,SAB-LABORATÓRIOS DE INFORMÁTICA E BIBLIOTECA,SAB-  Instalação de software,CAMPUS SABARA,Fechado,05/01/2023
6980,17/12/2022,Pós-Graduação,Gestão Acadêmica - Mestrado,Criação e gestão de turmas no sistema acadêmico-Mestrado,REITORIA,Cancelado,
6981,19/12/2022,Administrativo,Contratos,01 Processo SEI - Novo CONTRATO,REITORIA,Fechado,19/12/2022
6982,19/12/2022,Programa de Gestão,Programa de Gestão,Alteração de permissão chefia/participante - PG,CAMPUS GOVERNADOR VALADARES,Fechado,28/12/2022
6983,19/12/2022,Administrativo,Contratos,10 Processo SEI: Alteração Contratual,REITORIA,Fechado,22/12/2022
6984,19/12/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,19/12/2022
6985,19/12/2022,Tecnologia da Informação,RE-DTI-Telefonia,RE-DTI-Instalação de Softphone no Computador e ativação do ramal IP,REITORIA,Fechado,19/12/2022
6986,19/12/2022,Sistema de Matrícula Online,Sistema de Matrícula Online,Cadastro e acesso de usuários administrativos,REITORIA,Fechado,21/12/2022
6987,19/12/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,19/12/2022
6988,19/12/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,19/12/2022
6989,19/12/2022,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Instalação/Atualização de softwares no Windows,REITORIA,Fechado,10/02/2023
6990,19/12/2022,Gestão de Pessoas,Registro de Atividade Docente,Alteração de cadastros - módulo RJT,REITORIA,Fechado,19/12/2022
6991,19/12/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,03/01/2023
6992,19/12/2022,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-Sistemas Redmine/Limesurvey/SIGAM e outros,REITORIA,Fechado,19/12/2022
6993,19/12/2022,Administrativo,Contratos,00. Planilha de Acompanhamento de Contrato,REITORIA,Fechado,20/12/2022
6994,19/12/2022,Tecnologia da Informação,RE-DTI Portal ifmg.edu.br,RE-DTI Acesso ao portal ifmg.edu.br,REITORIA,Fechado,20/12/2022
6995,19/12/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,11/01/2023
6996,19/12/2022,Administrativo,Contratos,01 Processo SEI - Novo CONTRATO,REITORIA,Fechado,19/12/2022
6997,19/12/2022,Administrativo,Orçamento,Troca de orçamento entre Campus,REITORIA,Fechado,20/12/2022
6998,19/12/2022,Administrativo,Recomposição,99 Outras recomposições,CAMPUS SANTA LUZIA,Fechado,17/01/2023
6999,19/12/2022,Tecnologia da Informação,SL-Desktops e notebooks,"SL-Instalação e configuração software licenciado (AutoCAD, CorelDraw, MS-Office, etc)",CAMPUS SANTA LUZIA,Fechado,19/10/2023
7000,20/12/2022,SUAP,Módulo - Educacional,Migração de dados para o SUAP,REITORIA,Fechado,20/12/2022
7001,20/12/2022,Tecnologia da Informação,GV-SISTEMAS,GV-Conecta,CAMPUS GOVERNADOR VALADARES,Fechado,02/02/2023
7002,20/12/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,03/01/2023
7003,20/12/2022,Administrativo,Contratos,01 Processo SEI - Novo CONTRATO,REITORIA,Fechado,21/12/2022
7004,20/12/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,03/01/2023
7005,20/12/2022,SUAP,Módulo - Pesquisa,Permissões de acesso - módulo Pesquisa,REITORIA,Aberto,
7006,20/12/2022,Administrativo,Cobertura,X Outros problemas no telhado,CAMPUS FORMIGA,Fechado,06/03/2023
7007,20/12/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – ALTERAÇÃO - senhas e grupos de e-mail,REITORIA,Fechado,22/12/2022
7008,20/12/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail - Configuração avançada de e-mail,REITORIA,Fechado,07/03/2023
7009,21/12/2022,Administrativo,Hidráulica e Hidrossanitários,99 Outros serviços de hidráulica,REITORIA,Fechado,09/01/2023
7010,21/12/2022,Tecnologia da Informação,IBI - Equipamentos,IBI - REDE,CAMPUS IBIRITÉ,Fechado,21/12/2022
7011,21/12/2022,Gestão de Pessoas,Registro de Atividade Docente,Permissões de acesso - módulo RJT,REITORIA,Fechado,21/12/2022
7012,21/12/2022,SUAP,Módulo - Extensão,Erros no SUAP - módulo Extensão,REITORIA,Fechado,22/12/2022
7013,21/12/2022,Administrativo,Recomposição,99 Outras recomposições,CAMPUS OURO BRANCO,Fechado,08/02/2023
7014,21/12/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,03/01/2023
7015,21/12/2022,Tecnologia da Informação,OBR-CIRCUITO FECHADO DE TV,OBR-Câmera desconectada,CAMPUS OURO BRANCO,Fechado,13/03/2023
7016,21/12/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,22/12/2022
7017,21/12/2022,Administrativo,Portas e janelas,02 Janela,CAMPUS IBIRITÉ,Fechado,18/01/2023
7018,21/12/2022,Tecnologia da Informação,OBR-SISTEMAS,OBR-Eduroam,CAMPUS OURO BRANCO,Fechado,21/12/2022
7019,22/12/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,03/01/2023
7020,22/12/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,03/01/2023
7021,22/12/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,03/01/2023
7022,22/12/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,03/01/2023
7023,22/12/2022,Administrativo,Recomposição,99 Outras recomposições,CAMPUS SANTA LUZIA,Fechado,26/01/2023
7024,22/12/2022,SUAP,Módulo - Contratos,Alteração de cadastros - módulo Contratos,REITORIA,Fechado,06/01/2023
7025,22/12/2022,SUAP,Módulo - Pesquisa,Permissões de acesso - módulo Pesquisa,REITORIA,Fechado,13/03/2023
7026,22/12/2022,Administrativo,Elétrica,10 Troca de lâmpada,CAMPUS SANTA LUZIA,Fechado,02/01/2023
7027,22/12/2022,Administrativo,Recomposição,99 Outras recomposições,CAMPUS SANTA LUZIA,Fechado,04/01/2023
7028,22/12/2022,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,17/03/2023
7029,22/12/2022,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,10/01/2023
7030,22/12/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,22/12/2022
7031,22/12/2022,Administrativo,Contratos,08 Processo SEI: Reequilíbrio Contratual,REITORIA,Fechado,06/01/2023
7032,22/12/2022,Tecnologia da Informação,RE-DTI Portal ifmg.edu.br,RE-DTI Manutenção do portal ifmg.edu.br,REITORIA,Fechado,04/01/2023
7033,23/12/2022,Administrativo,Suprimento de Fundos,Legislação - Suprimento de Fundos,REITORIA,Fechado,03/01/2023
7034,23/12/2022,Programa de Gestão,Programa de Gestão,Alteração de permissão chefia/participante - PG,CAMPUS GOVERNADOR VALADARES,Fechado,28/12/2022
7035,23/12/2022,Tecnologia da Informação,IBI - Sistemas,IBI - Imagens das Câmeras,CAMPUS IBIRITÉ,Fechado,10/01/2023
7036,28/12/2022,Administrativo,Recomposição,99 Outras recomposições,CAMPUS AVANCADO PIUMHI,Fechado,17/03/2023
7037,28/12/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,28/12/2022
7038,28/12/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,28/12/2022
7039,29/12/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,29/12/2022
7040,30/12/2022,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-Firewall - liberação de acesso,REITORIA,Fechado,05/01/2023
7041,30/12/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,03/01/2023
7042,30/12/2022,Tecnologia da Informação,OBR-LABORATÓRIOS DE INFORMÁTICA,OBR-Computador Laboratório Lento,CAMPUS OURO BRANCO,Fechado,30/12/2022
7043,30/12/2022,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Computador lento,CAMPUS OURO BRANCO,Fechado,13/01/2023
7044,30/12/2022,Tecnologia da Informação,OBR-LABORATÓRIOS DE INFORMÁTICA,OBR-Computador Laboratório Lento,CAMPUS OURO BRANCO,Fechado,03/01/2023
7045,02/01/2023,Tecnologia da Informação,RE-DTI Portal ifmg.edu.br,RE-DTI Manutenção do portal ifmg.edu.br,REITORIA,Fechado,05/01/2023
7046,02/01/2023,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Cancelado,
7047,02/01/2023,Administrativo,Contratos,Dúvida: Legislação - Contratos,REITORIA,Fechado,11/01/2023
7048,02/01/2023,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-Acesso à Internet,REITORIA,Fechado,02/01/2023
7049,02/01/2023,Administrativo,Contratos,Dúvida: SUAP - Módulo Contratos,REITORIA,Fechado,09/01/2023
7050,02/01/2023,Tecnologia da Informação,SAB-COMPUTADORES E NOTEBOOKS,SAB-Computador não liga ou não inicia corretamente,CAMPUS SABARA,Fechado,02/01/2023
7051,02/01/2023,Tecnologia da Informação,RE-DTI-Impressão e scanner,"RE-DTI-Defeito, Ajustes ou correções na Impressora",REITORIA,Fechado,13/01/2023
7052,02/01/2023,SUAP,Módulo - Central de Serviços,Alteração de cadastros - módulo Central de Serviços,REITORIA,Fechado,02/01/2023
7053,02/01/2023,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Computador/monitor com problemas,REITORIA,Fechado,04/01/2023
7054,02/01/2023,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,02/01/2023
7055,03/01/2023,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Instalação/Atualização de softwares no Windows,REITORIA,Fechado,30/01/2023
7056,03/01/2023,Administrativo,Contratos,11 Processo SEI: Encerramento Contratual,REITORIA,Fechado,10/01/2023
7057,03/01/2023,SUAP,Módulo - Central de Serviços,Permissões de acesso - módulo Central de Serviços,REITORIA,Fechado,01/02/2023
7058,03/01/2023,Administrativo,Erros SISPLAN,Erro de relatório/exportação,REITORIA,Cancelado,
7059,03/01/2023,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,04/01/2023
7060,03/01/2023,Sistema de Matrícula Online,Sistema de Matrícula Online,Erros - Sistema de Matrícula Online,REITORIA,Cancelado,
7061,03/01/2023,Tecnologia da Informação,SAB-COMPUTADORES E NOTEBOOKS,SAB-  Instalação de nova estação de trabalho,CAMPUS SABARA,Fechado,04/01/2023
7062,03/01/2023,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-Portais Web/ Hospedagem de serviços,REITORIA,Fechado,16/02/2023
7063,03/01/2023,Tecnologia da Informação,SAB-COMPUTADORES E NOTEBOOKS,SAB-  Instalação de nova estação de trabalho,CAMPUS SABARA,Fechado,20/01/2023
7064,03/01/2023,Administrativo,Contratos,Dúvida: Comprasnet Contratos,REITORIA,Fechado,04/01/2023
7065,03/01/2023,Tecnologia da Informação,OBR-IMPRESSÃO,OBR-Impressora inoperante/obstruída,CAMPUS OURO BRANCO,Fechado,18/01/2023
7066,03/01/2023,Tecnologia da Informação,GV-SISTEMAS,GV-Conecta,CAMPUS GOVERNADOR VALADARES,Fechado,02/02/2023
7067,03/01/2023,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Atualização do SEI ou módulos do SEI,REITORIA,Fechado,17/01/2023
7068,03/01/2023,Administrativo,Erros SISPLAN,Suporte banco de dados,REITORIA,Fechado,16/01/2023
7069,03/01/2023,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-DNS,REITORIA,Fechado,05/01/2023
7070,03/01/2023,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Computador/monitor com problemas,REITORIA,Fechado,06/01/2023
7071,04/01/2023,SUAP,Módulo - Ponto Eletrônico,Erros no SUAP - módulo Ponto Eletrônico,REITORIA,Fechado,06/02/2023
7072,04/01/2023,Administrativo,Portas e janelas,01 Porta,CAMPUS IBIRITÉ,Fechado,30/01/2023
7073,04/01/2023,Administrativo,Contratos,05 Processo SEI: ACRÉSCIMO Contratual,REITORIA,Fechado,04/01/2023
7074,04/01/2023,Tecnologia da Informação,IBI - Equipamentos,IBI - Instação de Softwares,CAMPUS IBIRITÉ,Fechado,04/01/2023
7075,04/01/2023,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,06/01/2023
7076,04/01/2023,Administrativo,Recomposição,99 Outras recomposições,CAMPUS SANTA LUZIA,Fechado,04/01/2023
7077,04/01/2023,Tecnologia da Informação,IBI - Equipamentos,IBI - REDE,CAMPUS IBIRITÉ,Fechado,04/01/2023
7078,04/01/2023,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Suporte Recepta,REITORIA,Fechado,04/01/2023
7079,04/01/2023,SUAP,Módulo - Ponto Eletrônico,Erros no SUAP - módulo Ponto Eletrônico,REITORIA,Cancelado,
7080,04/01/2023,Administrativo,Contratos,07 Processo SEI: Reajuste Contratual,REITORIA,Fechado,09/01/2023
7081,04/01/2023,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-Active Directory,REITORIA,Fechado,31/01/2023
7082,04/01/2023,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI-E-mail – CRIAÇÃO – usuários e grupos Institucionais,REITORIA,Fechado,06/01/2023
7083,05/01/2023,Tecnologia da Informação,SAB-COMPUTADORES E NOTEBOOKS,SAB-Computador não liga ou não inicia corretamente,CAMPUS SABARA,Fechado,13/01/2023
7084,05/01/2023,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Cabo de Rede danificado,CAMPUS OURO BRANCO,Fechado,06/01/2023
7085,05/01/2023,Tecnologia da Informação,SAB-LABORATÓRIOS DE INFORMÁTICA E BIBLIOTECA,SAB- Configuração de software,CAMPUS SABARA,Fechado,24/01/2023
7086,05/01/2023,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Computador/monitor com problemas,REITORIA,Fechado,06/01/2023
7087,05/01/2023,Administrativo,Hidráulica e Hidrossanitários,05 Reparo em vaso sanitário,CAMPUS SANTA LUZIA,Fechado,17/01/2023
7088,06/01/2023,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-Firewall - liberação de acesso,REITORIA,Fechado,06/01/2023
7089,06/01/2023,Administrativo,Orçamento,Legislação - Orçamento,REITORIA,Fechado,16/01/2023
7090,06/01/2023,Administrativo,Cobertura,Vazamento em telhado,CAMPUS SANTA LUZIA,Fechado,17/03/2023
7091,06/01/2023,Tecnologia da Informação,IBI - Equipamentos,IBI - Instação de Softwares,CAMPUS IBIRITÉ,Cancelado,
7092,06/01/2023,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-VPN e Acesso Remoto,REITORIA,Fechado,06/01/2023
7093,06/01/2023,Tecnologia da Informação,IBI - Equipamentos,IBI - REDE,CAMPUS IBIRITÉ,Cancelado,
7094,06/01/2023,Administrativo,Elétrica,10 Troca de lâmpada,CAMPUS IBIRITÉ,Fechado,06/03/2023
7095,06/01/2023,Administrativo,Elétrica,99 Outros serviços elétricos,CAMPUS IBIRITÉ,Fechado,07/03/2023
7096,06/01/2023,Tecnologia da Informação,IBI - Equipamentos,IBI - REDE,CAMPUS IBIRITÉ,Fechado,16/03/2023
7097,06/01/2023,Administrativo,Cobertura,Vazamento em telhado,CAMPUS SANTA LUZIA,Fechado,13/01/2023
7098,06/01/2023,Administrativo,Elétrica,99 Outros serviços elétricos,CAMPUS SANTA LUZIA,Fechado,13/01/2023
7099,09/01/2023,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI Login - Criação ou alteração de senha,REITORIA,Fechado,10/01/2023
7100,09/01/2023,SUAP,Módulo - Almoxarifado,Dúvidas de uso do SUAP - módulo Almoxarifado,REITORIA,Fechado,09/01/2023
7101,09/01/2023,Tecnologia da Informação,RE-DTI-Suporte Técnico Avançado,RE-DTI-Portais Web/ Hospedagem de serviços,REITORIA,Fechado,09/01/2023
7102,09/01/2023,Tecnologia da Informação,RE-DTI Portal ifmg.edu.br,RE-DTI Acesso ao portal ifmg.edu.br,REITORIA,Fechado,23/01/2023
7103,09/01/2023,Tecnologia da Informação,SL-Desktops e notebooks,"SL-Instalação e configuração software licenciado (AutoCAD, CorelDraw, MS-Office, etc)",CAMPUS SANTA LUZIA,Fechado,09/01/2023
7104,09/01/2023,Tecnologia da Informação,SAB-COMPUTADORES E NOTEBOOKS,SAB-Computador não liga ou não inicia corretamente,CAMPUS SABARA,Cancelado,
7105,09/01/2023,Administrativo,Contratos,Dúvida: Legislação - Contratos,REITORIA,Fechado,09/01/2023
7106,09/01/2023,Administrativo,Compras,Dúvida: Legislação - Compras,REITORIA,Fechado,09/01/2023
7107,09/01/2023,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Instalação/Atualização de softwares no Windows,REITORIA,Fechado,10/01/2023
7108,09/01/2023,Administrativo,Recomposição,99 Outras recomposições,CAMPUS SANTA LUZIA,Fechado,11/01/2023
7109,09/01/2023,Administrativo,Contratos,08 Processo SEI: Reequilíbrio Contratual,REITORIA,Fechado,10/01/2023
7110,09/01/2023,SUAP,Módulo - Eventos,Erros no SUAP - módulo Eventos,REITORIA,Fechado,10/01/2023
7111,09/01/2023,Tecnologia da Informação,RE-DTI-Telefonia,RE-DTI-Alteração ou ativação de ponto de ramal,REITORIA,Fechado,17/01/2023
7112,10/01/2023,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,10/01/2023
7113,10/01/2023,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,10/01/2023
7114,10/01/2023,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,10/01/2023
7115,10/01/2023,Tecnologia da Informação,GV-TELEFONIA,GV-Mudança de local da linha telefônica,CAMPUS GOVERNADOR VALADARES,Fechado,11/01/2023
7116,10/01/2023,SUAP,Geral,Problemas com acesso,REITORIA,Fechado,11/01/2023
7117,10/01/2023,Tecnologia da Informação,SL-Impressão,SL-Configuração para uso da impressora,CAMPUS SANTA LUZIA,Fechado,11/01/2023
7118,10/01/2023,Tecnologia da Informação,SL-Desktops e notebooks,SL-Manutenção de Desktop ou Notebook com defeito,CAMPUS SANTA LUZIA,Fechado,17/01/2023
7119,10/01/2023,Administrativo,Recomposição,99 Outras recomposições,CAMPUS SANTA LUZIA,Fechado,13/01/2023
7120,10/01/2023,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,10/01/2023
7121,10/01/2023,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,10/01/2023
7122,10/01/2023,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,10/01/2023
7123,10/01/2023,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,12/01/2023
7124,10/01/2023,Tecnologia da Informação,SAB-COMPUTADORES E NOTEBOOKS,SAB-  Configuração de software,CAMPUS SABARA,Fechado,11/01/2023
7125,10/01/2023,Tecnologia da Informação,RE-DTI-Computadores e Periféricos,RE-DTI-Instalação/Atualização de softwares no Windows,REITORIA,Fechado,30/01/2023
7126,10/01/2023,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,24/01/2023
7127,11/01/2023,Tecnologia da Informação,GV-ABERTURA DE CHAMADOS,GV-Chamados,CAMPUS GOVERNADOR VALADARES,Fechado,11/01/2023
7128,11/01/2023,Tecnologia da Informação,OBR-COMPUTADORES,OBR-Sem conexão com a rede interna,CAMPUS OURO BRANCO,Fechado,11/01/2023
7129,11/01/2023,Administrativo,Portas e janelas,04 Fechadura,CAMPUS SANTA LUZIA,Fechado,13/01/2023
7130,11/01/2023,Administrativo,Elétrica,99 Outros serviços elétricos,CAMPUS OURO BRANCO,Fechado,13/01/2023
7131,11/01/2023,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Rotinas/Atividades STI,CAMPUS OURO BRANCO,Fechado,13/01/2023
7132,11/01/2023,Tecnologia da Informação,SL-E-mail ou Login de Rede,SL-Criação/alteração de senha de usuário de Rede,CAMPUS SANTA LUZIA,Fechado,22/03/2023
7133,11/01/2023,Administrativo,Recomposição,99 Outras recomposições,CAMPUS SANTA LUZIA,Fechado,13/01/2023
7134,11/01/2023,Tecnologia da Informação,OBR-IMPRESSÃO,OBR-Impressora inoperante/obstruída,CAMPUS OURO BRANCO,Fechado,12/01/2023
7135,11/01/2023,SUAP,Módulo - Frotas,Permissões de acesso - módulo Frotas,REITORIA,Fechado,14/03/2023
7136,11/01/2023,Administrativo,Elétrica,01 Criação de ponto de energia,CAMPUS SANTA LUZIA,Fechado,13/01/2023
7137,11/01/2023,Tecnologia da Informação,GV-SISTEMAS,GV-SEI,CAMPUS GOVERNADOR VALADARES,Cancelado,
7138,11/01/2023,Tecnologia da Informação,RE-DTI-Sistemas SEI/SIP e outros,RE-DTI-Atualização do SEI ou módulos do SEI,REITORIA,Fechado,17/01/2023
