identificador,aberto-em,area,grupo-de-servico,servico,campus,status,solucionado-em
5050,18/07/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,22/07/2022
5051,19/07/2022,Programa de Gestão,Programa de Gestão,Problemas de acesso - PG,REITORIA,Fechado,19/07/2022
5052,19/07/2022,Tecnologia da Informação,OBR-EMAIL-ACESSOS,OBR-Criação de e-mail setorial,CAMPUS OURO BRANCO,Fechado,19/07/2022
5053,19/07/2022,SEI,Acompanhamento Especial,Dúvidas sobre Acompanhamento Especial,CAMPUS GOVERNADOR VALADARES,Cancelado,
5054,19/07/2022,Programa de Gestão,Programa de Gestão,Problemas de acesso - PG,REITORIA,Fechado,19/07/2022
5055,19/07/2022,Programa de Gestão,Programa de Gestão,Problemas de acesso - PG,REITORIA,Fechado,19/07/2022
5056,19/07/2022,Administrativo,Orçamento,Alteração de PTRES na mesma Ação,REITORIA,Fechado,26/07/2022
5057,19/07/2022,Tecnologia da Informação,SL-Laboratórios e Biblioteca,SL- Instalação e Configuração de Software,CAMPUS SANTA LUZIA,Fechado,21/07/2022
5058,19/07/2022,Programa de Gestão,Programa de Gestão,Problemas de acesso - PG,REITORIA,Fechado,25/07/2022
5059,19/07/2022,Administrativo,Contratos,01 Processo SEI - Novo CONTRATO,REITORIA,Fechado,20/07/2022
5060,19/07/2022,SEI,Manter processo aberto na unidade atual,Manter processo aberto na unidade atual,CAMPUS OURO BRANCO,Aberto,
5061,19/07/2022,Tecnologia da Informação,GV-ABERTURA DE CHAMADOS,GV-Chamados,CAMPUS GOVERNADOR VALADARES,Fechado,20/07/2022
5062,19/07/2022,Tecnologia da Informação,RE-DTI-Redes e Internet,RE-DTI Login - Criação ou alteração de senha,REITORIA,Fechado,19/07/2022
5063,19/07/2022,Tecnologia da Informação,OBR-ABERTURA DE CHAMADOS,OBR-Chamados Ouro Branco,CAMPUS OURO BRANCO,Fechado,20/07/2022
5064,19/07/2022,Administrativo,Orçamento,Alteração de PTRES na mesma Ação,REITORIA,Fechado,26/07/2022
